Date,Brand Name(s),Product Description,Product Type,Recall Reason Description,Company Name
07/18/2020,Giant Eagle,Dried Fruit Mix,"Food & Beverages, Snack Food Item",Dried Fruit Mix,"Giant Eagle, Inc."
07/17/2020,Whole Foods,Spinach Artichoke Dip,"Food & Beverages, Allergens",Undeclared Egg,"Winter Gardens Quality Foods, Inc."
07/17/2020,Multiple brand names,Hemp Oil Tinctures,"Drugs,",Excess lead in product,"InHE Manufacturing, LLC"
07/16/2020,Happy Colon,Shortbread Cookie & Chocolate Chip Cookie,"Food & Beverages, Snack Food Item",Undeclared Milk,"Happy Colon Foods, LLC"
07/14/2020,bio aaa,Hand Sanitizer,"Drugs,",Potential Undeclared Methanol Contamination,"AAA Cosmetica, S.A. de C.V."
07/14/2020,Bersih,Hand Sanitizer Gel,"Drugs,",Potential Methanol Contamination,Soluciones Cosmeticas
07/13/2020,Ultralyx,12% Protein Sheep feed,"Animal & Veterinary, Livestock Feed",Elevated levels of copper,Ridley Block Operations
07/13/2020,Blumen,Hand Sanitizer,"Drugs,",Undeclared Methanol,4e Brands North America
07/13/2020,Wegmans,Pecan Blend Trail Mix,"Food & Beverages, Allergens, Snack Food Item",Undeclared Almonds and Walnuts,"Flagstone Foods, LLC"
07/09/2020,Sundial,Herbal Products/Dietary Supplements,"Food & Beverages, Spices, Flavors &  Salts",Misbranding & Unapproved New Drugs,Sundial Herbal Products
07/08/2020,Lupin,"Metformin Hydrochloride Extended-Release Tablets, 500mg and 1000mg","Drugs,",N-Nitrosodimethylamine (NDMA) Impurity,"Lupin Pharmaceuticals, Inc."
07/08/2020,BodyGuard,Infusion System Administration Set (infusion set),"Medical Devices,",Use of the pump system potentially could cause over-infusion or under-infusion of therapy,CME America
07/08/2020,Ovation,Ovation iX system,"Medical Devices,",A material weakness adjacent to the polymer fill channel may become compromised during pressurization with liquid polymer.,Endologix® Inc.
07/08/2020,KIND,Oats & Honey Granola with Toasted Coconut pouches,"Food & Beverages, Allergens, Nuts & Nut Products",Undeclared sesame seeds,KIND Healthy Snacks
07/07/2020,Mylan,Daptomycin for Injection,"Drugs,",Presence of particulate matter,Mylan Institutional LLC
07/06/2020,All Clean,Hand sanitizer,"Drugs,",Potential presence of methanol (wood alcohol).,ITECH 361
