"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","pending","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-09-17","WY","B",49,,3,,236,236,16,1,,,86800,1397,,,136110,,,,4652,3936,86,0,,,,,3920,4000,,0,91452,1483,,,,,90736,1467,140031,3100
"2020-09-17","NE","A",439,,3,,2172,2172,176,5,,,373432,3441,,,,,,,39419,39419,449,0,,,,,,29966,,0,412851,3890,,,,,413473,3908,,0
"2020-09-17","ND","B",142,139,1,3,691,691,69,17,181,24,206447,723,8651,,,,,,16723,16723,390,0,377,,,,,13828,540625,6402,540625,6402,9028,,,,223170,1113,559923,6760
"2020-09-17","NC","A+",3180,3180,31,,,,894,0,,286,2524599,29239,,,,,,,189576,189576,1552,0,,,,,,167257,,0,2714175,30791,,,,,,0,2714175,30791
"2020-09-17","MT","C",143,,2,,549,549,107,6,,,285652,2682,,,,,,,9647,9647,216,0,,,,,,7401,,0,295299,2898,,,,,,0,295299,2898
"2020-09-17","NH","B",438,,0,,725,725,7,2,230,,227696,1745,,,,,,,7814,7814,34,0,,,,,,7104,,0,235510,1779,31215,,30576,,235510,1779,383551,0
"2020-09-17","MP","D",2,2,0,,4,4,,0,,,14316,0,,,,,,,62,62,1,0,,,,,,29,,0,14378,1,,,,,14375,0,18915,0
"2020-09-17","MO","B",1757,,18,,,,962,0,,,1070247,12451,,68602,1419584,,,,108334,108334,1747,0,,,3250,,115983,,,0,1178581,14198,,,71852,,1178581,14198,1538232,18798
"2020-09-17","MN","A",1994,1942,9,52,7050,7050,242,31,1980,132,1176824,10245,,,,,,,86722,86722,909,0,,,,,,79878,,0,1263546,11154,,,,,1263546,11154,1763735,20124
"2020-09-17","MI","A+",6955,6632,12,323,,,590,0,,152,3125009,32290,,,3125009,,67,,126722,114692,980,0,,,,,161212,85513,,0,3251731,33270,279980,,,,,0,3286221,33274
